DUMMY,taxon_order,category,species_code,primary_com_name,sci_name
,9846,issf,colkin15,Melanesian Kingfisher (Dampier Straits),Todiramphus tristrami stresemanni
,9847,issf,colkin6,Melanesian Kingfisher (New Ireland),Todiramphus tristrami [nusae Group]
,9851,issf,colkin16,Melanesian Kingfisher (New Britain),Todiramphus tristrami tristrami
,9852,issf,colkin11,Melanesian Kingfisher (Bougainville-Guadalcanal),Todiramphus tristrami alberti
,9853,species,somkin1,Sombre Kingfisher,Todiramphus funebris
,9854,species,talkin1,Talaud Kingfisher,Todiramphus enigma
,9855,species,cibkin1,Cinnamon-banded Kingfisher,Todiramphus australasia
,9861,spuh,todira1,Todiramphus sp.,Todiramphus sp.
,9862,species,whrkin1,White-rumped Kingfisher,Caridonax fulgidus
,9865,species,hobkin1,Hook-billed Kingfisher,Melidora macrorrhina
,9869,species,moukin2,Moustached Kingfisher,Actenoides bougainvillei
,9870,issf,moukin3,Moustached Kingfisher (Bougainville),Actenoides bougainvillei bougainvillei
,9871,issf,moukin4,Moustached Kingfisher (Guadalcanal),Actenoides bougainvillei excelsus
,9872,species,ruckin1,Rufous-collared Kingfisher,Actenoides concretus
,9876,species,spokin1,Spotted Kingfisher,Actenoides lindsayi
,9879,species,blckin2,Blue-capped Kingfisher,Actenoides hombroni
,9880,species,grbkin1,Green-backed Kingfisher,Actenoides monachus
,9881,issf,gnbkin1,Green-backed Kingfisher (Blue-headed),Actenoides monachus monachus
,9882,issf,gnbkin2,Green-backed Kingfisher (Black-headed),Actenoides monachus capucinus
,9883,species,scakin1,Scaly-breasted Kingfisher,Actenoides princeps
,9884,issf,scbkin1,Scaly-breasted Kingfisher (Scaly-breasted),Actenoides princeps princeps/erythrorhamphus
,9887,issf,scbkin2,Scaly-breasted Kingfisher (Plain-backed),Actenoides princeps regalis
,9888,species,yebkin1,Yellow-billed Kingfisher,Syma torotoro
,9892,species,moukin1,Mountain Kingfisher,Syma megarhyncha
,9896,slash,y00868,Yellow-billed/Mountain Kingfisher,Syma torotoro/megarhyncha
,9897,species,lipkin1,Little Paradise-Kingfisher,Tanysiptera hydrocharis
,9898,species,copkin1,Common Paradise-Kingfisher,Tanysiptera galatea
,9899,issf,compak16,Common Paradise-Kingfisher (Common),Tanysiptera galatea [galatea Group]
,9914,issf,compak15,Common Paradise-Kingfisher (Rossel),Tanysiptera galatea rosseliana
,9915,species,kopkin1,Kofiau Paradise-Kingfisher,Tanysiptera ellioti
,9916,species,bipkin1,Biak Paradise-Kingfisher,Tanysiptera riedelii
